Frame,Value
933,347
934,370
935,367
936,361
937,340
938,357
939,341
940,361
941,357
942,351
943,363
944,342
945,359
946,362
947,353
948,342
949,363
950,340
951,363
952,346
953,359
954,343
955,368
956,356
957,340
958,363
959,343
960,368
961,357
962,361
963,343
964,370
965,359
966,353
967,354
968,352
969,359
970,370
971,345
972,341
973,340
974,355
975,359
976,349
977,344
978,366
979,359
980,346
981,356
982,358
983,366
984,341
985,349
986,340
987,367
988,343
989,364
990,354
991,344
992,344
993,349
994,358
995,365
996,347
997,342
998,341
999,366
1000,350
1001,354
1002,342
1003,370
1004,343
1005,352
1006,348
1007,365
1008,352
1009,350
1010,355
1011,350
1012,354
1013,365
1014,352
1015,358
1016,345
1017,348
1018,349
1019,353
1020,351
1021,363
1022,340
1023,345
1024,345
1025,370
1026,362
1027,357
1028,351
1029,346
1030,341
1031,349
1032,357
1033,348
1034,364
1035,352
1036,347
1037,344
1038,366
1039,358
1040,370
1041,357
1042,342
1043,347
1044,343
1045,367
1046,348
1047,349
1048,352
1049,351
1050,346
1051,343
1052,352
1053,350
1054,365
1055,361
1056,358
1057,370
1058,348
1059,346
1060,366
1061,370
1062,341
1063,366
1064,355
1065,340
1066,341
1067,370
1068,360
1069,356
1070,350
1071,361
1072,369
1073,360
1074,347
1075,367
1076,356
1077,350
1078,370
1079,354
1080,367
1081,355
1082,361
1083,349
1084,349
1085,366
1086,358
1087,353
1088,370
1089,368
1090,355
1091,368
1092,350
1093,352
1094,344
1095,343
1096,351
1097,361
1098,367
1099,351
1100,369
1101,353
1102,344
1103,361
1104,349
1105,353
1106,356
1107,366
1108,366
1109,354
1110,351
1111,354
1112,359
1113,350
1114,344
1115,349
1116,363
1117,361
1118,366
1119,344
1120,346
1121,363
1122,354
1123,355
1124,340
1125,351
1126,361
1127,359
1128,366
1129,353
1130,351
1131,353
1132,369
1133,352
1134,364
1135,368
1136,370
1137,346
1138,341
1139,340
1140,358
1141,341
1142,342
1143,358
1144,366
1145,349
1146,348
1147,345
1148,368
1149,358
1150,347
1151,361
1152,367
1153,341
1154,366
1155,345
1156,350
1157,361
1158,358
1159,359
1160,359
1161,362
1162,350
1163,366
1164,370
1165,347
1166,369
1167,362
1168,345
1169,349
1170,346
1171,346
1172,370
1173,353
1174,341
1175,346
1176,347
1177,360
1178,349
1179,342
1180,367
1181,343
1182,369
1183,362
1184,370
1185,345
1186,359
1187,366
1188,344
1189,362
1190,340
1191,343
1192,341
1193,343
1194,359
1195,360
1196,340
1197,364
1198,347
1199,354
1200,348
1201,358
1202,360
1203,362
1204,349
1205,344
1206,369
1207,364
1208,369
1209,369
1210,369
1211,363
1212,370
1213,349
1214,357
1215,350
1216,347
1217,346
1218,363
1219,367
1220,357
1221,343
1222,352
1223,353
1224,362
1225,355
1226,361
1227,343
1228,355
1229,347
1230,351
1231,342
1232,356
1233,357
1234,349
1235,370
1236,355
1237,348
1238,370
1239,344
1240,361
1241,368
1242,346
1243,369
1244,340
1245,344
1246,364
1247,345
1248,360
1249,357
1250,346
1251,348
1252,346
1253,345
1254,367
1255,366
1256,354
1257,357
1258,362
1259,364
1260,345
1261,354
1262,361
1263,355
1264,368
1265,353
1266,345
1267,360
1268,341
1269,355
1270,361
1271,346
1272,341
1273,361
1274,344
1275,340
1276,355
1277,352
1278,344
1279,348
1280,359
1281,363
1282,348
1283,351
1284,369
1285,351
1286,370
1287,349
1288,369
1289,344
1290,340
1291,351
1292,355
1293,350
1294,354
1295,350
1296,352
1297,341
1298,364
1299,353
1300,362
1301,365
1302,358
1303,351
1304,340
1305,367
1306,352
1307,365
1308,341
1309,363
1310,346
1311,342
1312,353
1313,362
1314,357
1315,342
1316,358
1317,351
1318,348
1319,354
1320,357
1321,341
1322,357
1323,347
1324,342
1325,361
1326,347
1327,345
1328,348
1329,362
1330,343
1331,363
1332,346
1333,347
1334,355
1335,355
1336,366
1337,359
1338,348
1339,363
1340,348
1341,343
1342,366
1343,363
1344,358
1345,369
1346,353
1347,350
1348,352
1349,350
1350,347
1351,340
1352,361
1353,359
1354,350
1355,363
1356,370
1357,341
1358,370
1359,348
1360,342
1361,350
1362,368
1363,361
1364,362
1365,346
1366,344
1367,348
1368,364
1369,353
1370,362
1371,344
1372,353
1373,356
1374,365
1375,365
1376,348
1377,346
1378,354
1379,362
1380,354
1381,344
1382,342
1383,360
1384,366
1385,348
1386,349
1387,358
1388,361
1389,358
1390,355
1391,363
1392,354
1393,348
1394,368
1395,359
1396,366
1397,368
1398,344
1399,353
1400,348
1401,368
1402,361
1403,349
1404,364
1405,350
1406,359
1407,354
1408,346
1409,352
1410,364
1411,366
1412,360
1413,344
1414,365
1415,369
1416,355
1417,348
1418,360
1419,348
1420,367
1421,351
1422,348
1423,344
1424,349
1425,358
1426,367
1427,364
1428,361
1429,343
1430,342
1431,363
1432,350
1433,356
1434,369
1435,360
1436,350
1437,347
1438,370
1439,343
1440,368
1441,348
1442,363
1443,358
1444,358
1445,365
1446,347
1447,365
1448,341
1449,346
1450,344
1451,357
1452,355
1453,350
1454,359
1455,349
1456,354
1457,352
1458,343
1459,345
1460,347
1461,341
1462,356
1463,362
1464,343
1465,344
1466,355
1467,368
1468,356
1469,351
1470,346
1471,369
1472,370
1473,344
1474,341
1475,360
1476,342
1477,352
1478,343
1479,357
1480,368
1481,360
1482,359
1483,359
1484,345
1485,340
1486,362
1487,370
1488,352
1489,355
1490,350
1491,349
1492,347
1493,361
1494,368
1495,350
1496,342
1497,343
1498,346
1499,356
1500,361
1501,365
1502,361
1503,370
1504,343
1505,356
1506,365
1507,347
1508,365
1509,343
1510,351
1511,358
1512,340
1513,344
1514,363
1515,349
1516,349
1517,359
1518,364
1519,356
1520,370
1521,354
1522,345
1523,364
1524,348
1525,344
1526,356
1527,367
1528,362
1529,370
1530,361
1531,351
1532,369
1533,364
1534,351
1535,348
1536,370
1537,352
1538,363
1539,349
1540,355
1541,368
1542,354
1543,367
1544,341
1545,349
1546,360
1547,359
1548,369
1549,341
1550,356
1551,366
1552,355
1553,342
1554,341
1555,367
1556,365
1557,343
1558,358
1559,349
1560,353
1561,367
1562,361
1563,343
1564,368
1565,342
1566,342
1567,367
1568,360
1569,362
1570,353
1571,369
1572,350
1573,358
1574,349
1575,354
1576,365
1577,347
1578,342
1579,342
1580,363
1581,367
1582,362
1583,363
1584,363
1585,341
1586,369
1587,356
1588,362
1589,358
1590,345
1591,346
1592,352
1593,359
1594,355
1595,362
1596,359
1597,358
1598,359
1599,347
1600,343
1601,364
1602,361
1603,340
1604,356
1605,361
1606,363
1607,367
1608,353
1609,347
1610,363
1611,364
1612,357
1613,344
1614,344
1615,349
1616,357
1617,354
1618,353
1619,366
1620,348
1621,355
1622,356
1623,344
1624,369
1625,340
1626,365
1627,356
1628,370
1629,365
1630,360
1631,351
1632,367
1633,341
1634,359
1635,347
1636,357
1637,368
1638,346
1639,353
1640,363
1641,370
1642,359
1643,353
1644,358
1645,363
1646,353
1647,370
1648,366
1649,364
1650,349
1651,364
1652,365
1653,340
1654,349
1655,369
1656,359
1657,356
1658,357
1659,360
1660,348
1661,361
1662,361
1663,349
1664,364
1665,364
1666,342
1667,344
1668,353
1669,368
1670,340
1671,367
1672,359
1673,349
1674,341
1675,360
1676,353
1677,365
1678,341
1679,364
1680,365
1681,358
1682,366
1683,355
1684,350
1685,354
1686,361
1687,349
1688,351
1689,365
1690,363
1691,345
1692,353
1693,354
1694,357
1695,358
1696,361
1697,370
1698,350
1699,365
1700,365
1701,367
1702,355
1703,362
1704,353
1705,351
1706,370
1707,370
1708,354
1709,353
1710,369
1711,354
1712,363
1713,359
1714,342
1715,358
1716,370
1717,340
1718,347
1719,370
1720,363
1721,368
1722,359
1723,343
1724,351
1725,365
1726,341
1727,360
1728,341
1729,361
1730,341
1731,360
1732,351
1733,364
1734,354
1735,344
1736,362
1737,368
1738,361
1739,351
1740,340
1741,357
1742,341
1743,356
1744,358
1745,356
1746,353
1747,344
1748,365
1749,359
1750,357
1751,361
1752,363
1753,349
1754,345
1755,351
1756,370
1757,349
1758,356
1759,357
1760,358
1761,349
1762,342
1763,350
1764,352
1765,351
1766,348
1767,370
1768,340
1769,344
1770,343
1771,358
1772,346
1773,349
1774,351
1775,364
1776,355
1777,340
1778,358
1779,351
1780,341
1781,357
1782,366
1783,361
1784,364
1785,345
1786,341
1787,369
1788,362
1789,345
1790,354
1791,361
1792,345
1793,353
1794,356
1795,357
1796,367
1797,369
1798,362
1799,355
1800,350
1801,342
1802,363
1803,369
1804,364
1805,347
1806,364
1807,369
1808,360
1809,343
1810,370
1811,354
1812,350
1813,364
1814,368
1815,351
1816,364
1817,359
1818,365
1819,348
1820,352
1821,357
1822,368
1823,363
1824,347
1825,362
1826,342
1827,360
1828,349
1829,364
1830,358
1831,356
1832,352
1833,352
1834,349
1835,343
1836,340
1837,342
1838,341
1839,364
1840,359
1841,356
1842,362
1843,360
1844,364
1845,353
1846,347
1847,369
1848,351
1849,364
1850,344
1851,370
1852,365
1853,351
1854,358
1855,350
1856,349
1857,358
1858,370
1859,359
1860,359
1861,347
1862,361
1863,361
1864,357
1865,351
1866,361
1867,364
1868,342
1869,341
1870,347
1871,357
1872,365
1873,348
1874,344
1875,356
1876,364
1877,365
1878,358
1879,361
1880,358
1881,356
1882,349
1883,347
1884,366
1885,369
1886,362
1887,364
1888,365
1889,351
1890,364
1891,357
1892,348
1893,351
1894,344
1895,369
1896,365
1897,360
1898,352
1899,370
1900,355
1901,345
1902,349
1903,370
1904,356
1905,344
1906,355
1907,357
1908,367
1909,365
1910,367
1911,366
1912,348
1913,349
1914,355
1915,359
1916,355
1917,355
1918,363
1919,356
1920,354
1921,366
1922,361
1923,349
1924,361
1925,360
1926,344
1927,346
1928,367
1929,345
1930,359
1931,343
1932,370
1933,358
1934,366
1935,362
1936,340
1937,349
1938,350
1939,354
1940,352
1941,345
1942,358
1943,343
1944,370
1945,343
1946,345
1947,342
1948,356
1949,354
1950,342
1951,341
1952,350
1953,353
1954,358
1955,352
1956,367
1957,340
1958,367
1959,353
1960,351
1961,360
1962,349
1963,366
1964,362
1965,347
1966,364
1967,364
1968,355
1969,356
1970,368
1971,355
1972,353
1973,351
1974,369
1975,340
1976,345
1977,368
1978,367
1979,347
1980,351
1981,363
1982,353
1983,365
1984,362
1985,344
1986,362
1987,356
1988,340
1989,356
1990,356
1991,341
1992,348
1993,360
1994,341
1995,351
1996,341
1997,343
1998,341
1999,350
2000,367
2001,365
2002,341
2003,348
2004,364
2005,370
2006,347
2007,348
2008,364
2009,362
2010,360
2011,367
2012,368
2013,356
2014,354
2015,358
2016,356
2017,343
2018,353
2019,347
2020,361
2021,345
2022,367
2023,366
2024,353
2025,350
2026,363
2027,343
2028,368
2029,363
2030,345
2031,361
2032,360
2033,370
2034,343
2035,358
2036,367
2037,366
2038,340
2039,361
2040,365
2041,350
2042,345
2043,368
2044,351
2045,360
2046,344
2047,363
2048,359
2049,370
2050,364
2051,342
2052,351
2053,355
2054,349
2055,344
2056,354
2057,346
2058,359
2059,350
2060,363
2061,343
2062,349
2063,345
2064,356
2065,343
2066,344
2067,360
2068,344
2069,341
2070,351
2071,352
2072,360
2073,358
2074,359
2075,349
2076,366
2077,366
2078,360
2079,370
2080,359
2081,366
2082,369
2083,370
2084,346
2085,355
2086,347
2087,355
2088,346
2089,357
2090,360
2091,359
2092,361
2093,369
2094,342
2095,346
2096,360
2097,346
2098,362
2099,369
2100,349
2101,347
2102,347
2103,348
2104,350
2105,354
2106,364
2107,349
2108,349
2109,354
2110,356
2111,355
2112,359
2113,367
2114,357
2115,353
2116,350
2117,347
2118,340
2119,350
2120,363
2121,356
2122,368
2123,354
2124,363
2125,344
2126,355
2127,358
2128,345
2129,366
2130,358
2131,353
2132,353
2133,343
2134,357
2135,353
2136,348
2137,351
2138,340
2139,356
2140,346
2141,368
2142,368
2143,366
2144,363
2145,353
2146,346
2147,347
2148,366
2149,365
2150,341
2151,350
2152,350
2153,343
2154,347
2155,341
2156,350
2157,343
2158,368
2159,343
2160,364
2161,357
2162,346
2163,346
2164,343
2165,358
2166,359
2167,353
2168,348
2169,352
2170,354
2171,360
2172,363
2173,358
2174,355
2175,366
2176,359
2177,354
2178,365
2179,359
2180,353
2181,343
2182,344
2183,368
2184,343
2185,370
2186,357
2187,351
2188,347
2189,359
2190,342
2191,340
2192,345
2193,368
2194,352
2195,356
2196,365
2197,341
2198,362
2199,368
2200,345
2201,358
2202,340
2203,361
2204,342
2205,367
2206,364
2207,348
2208,348
2209,370
2210,347
2211,364
2212,366
2213,345
2214,370
2215,359
2216,369
2217,347
2218,342
2219,370
2220,365
2221,358
2222,365
2223,351
2224,351
2225,340
2226,355
2227,367
2228,366
2229,362
2230,354
2231,350
2232,365
2233,352
2234,358
2235,354
2236,357
2237,355
2238,349
2239,340
2240,370
2241,369
2242,341
2243,343
2244,348
2245,362
2246,348
2247,348
2248,350
2249,362
2250,361
2251,344
2252,342
2253,369
2254,363
2255,370
2256,370
2257,362
2258,369
2259,369
2260,361
2261,353
2262,365
2263,368
2264,350
2265,369
2266,368
2267,368
2268,351
2269,344
2270,367
2271,346
2272,370
2273,345
2274,345
2275,364
2276,354
2277,352
2278,357
2279,353
2280,355
2281,346
2282,342
2283,342
2284,349
2285,361
2286,361
2287,341
2288,353
2289,358
2290,343
2291,358
2292,352
2293,340
2294,360
2295,363
2296,354
2297,345
2298,351
2299,344
2300,343
2301,367
2302,370
2303,347
2304,362
2305,361
2306,346
2307,362
2308,352
2309,341
2310,355
2311,358
2312,360
2313,342
2314,340
2315,367
2316,344
2317,353
2318,358
2319,367
2320,357
2321,361
2322,352
2323,358
2324,350
2325,346
2326,362
2327,355
2328,344
2329,346
2330,354
2331,343
2332,343
2333,340
2334,352
2335,369
2336,348
2337,350
2338,355
2339,352
2340,343
2341,353
2342,364
2343,368
2344,345
2345,358
2346,365
2347,365
2348,348
2349,346
2350,344
2351,342
2352,342
2353,363
2354,362
2355,340
2356,340
2357,350
2358,363
2359,356
2360,343
2361,363
2362,364
2363,363
2364,345
2365,362
2366,353
2367,349
2368,370
2369,370
2370,357
2371,356
2372,356
2373,362
2374,361
2375,341
2376,370
2377,365
2378,365
2379,357
2380,345
2381,349
2382,344
2383,370
2384,356
2385,365
2386,370
2387,340
2388,363
2389,352
2390,346
2391,357
2392,355
2393,351
2394,358
2395,355
2396,360
2397,347
2398,346
2399,367
2400,362
2401,365
2402,366
2403,342
2404,345
2405,365
2406,363
2407,347
2408,345
2409,356
2410,355
2411,342
2412,356
2413,363
2414,356
2415,360
2416,344
2417,346
2418,349
2419,349
2420,357
2421,354
2422,351
2423,348
2424,366
2425,342
2426,365
2427,368
2428,349
2429,352
2430,350
2431,353
2432,356
2433,369
2434,349
2435,353
2436,352
2437,342
2438,353
2439,361
2440,360
2441,350
2442,350
2443,350
2444,345
2445,354
2446,366
2447,347
2448,351
2449,361
2450,346
2451,344
2452,341
2453,360
2454,369
2455,365
2456,351
2457,352
2458,370
2459,350
2460,354
2461,345
2462,342
2463,352
2464,360
2465,341
2466,353
2467,350
2468,350
2469,350
2470,347
2471,363
2472,358
2473,370
2474,363
2475,369
2476,352
2477,348
2478,368
2479,361
2480,355
2481,362
2482,367
2483,348
2484,356
2485,358
2486,361
2487,363
2488,370
2489,342
2490,342
2491,357
2492,342
2493,370
2494,356
2495,370
2496,348
2497,359
2498,352
2499,343
2500,352
2501,348
2502,350
2503,363
2504,342
2505,356
2506,370
2507,362
2508,357
2509,345
2510,358
2511,369
2512,348
2513,341
2514,367
2515,341
2516,367
2517,342
2518,367
2519,346
2520,367
2521,343
2522,351
2523,362
2524,366
2525,351
2526,348
2527,364
2528,348
2529,365
2530,354
2531,353
2532,360
2533,360
2534,369
2535,341
2536,343
2537,369
2538,361
2539,362
2540,341
2541,349
2542,349
2543,344
2544,346
2545,350
2546,349
2547,345
2548,342
2549,369
2550,357
2551,361
2552,357
2553,361
2554,361
2555,357
2556,350
2557,341
2558,356
2559,361
2560,346
2561,355
2562,369
2563,341
2564,345
2565,353
2566,355
2567,360
2568,360
2569,366
2570,344
2571,344
2572,357
2573,362
2574,357
2575,359
2576,370
2577,355
2578,346
2579,367
2580,348
2581,346
2582,367
2583,348
2584,348
2585,341
2586,361
2587,360
2588,352
2589,348
2590,360
2591,366
2592,345
2593,347
2594,345
2595,357
2596,366
2597,357
2598,369
2599,370
2600,344
2601,363
2602,359
2603,356
2604,355
2605,357
2606,353
2607,370
2608,353
2609,345
2610,355
2611,354
2612,362
2613,369
2614,353
2615,342
2616,357
2617,361
2618,347
2619,364
2620,358
2621,340
2622,369
2623,370
2624,368
2625,356
2626,356
2627,351
2628,356
2629,342
2630,351
2631,367
2632,366
2633,355
2634,363
2635,358
2636,351
2637,359
2638,343
2639,369
2640,345
2641,342
2642,347
2643,343
2644,342
2645,343
2646,363
2647,346
2648,366
2649,363
2650,369
2651,352
2652,361
2653,358
2654,349
2655,361
2656,342
2657,358
2658,358
2659,357
2660,351
2661,357
2662,343
2663,343
2664,345
2665,369
2666,343
2667,367
2668,351
2669,369
2670,348
2671,362
2672,346
2673,348
2674,368
2675,351
2676,359
2677,340
2678,345
2679,366
2680,354
2681,348
2682,342
2683,341
2684,348
2685,354
2686,356
2687,343
2688,352
2689,354
2690,368
2691,370
2692,369
2693,357
2694,350
2695,346
2696,351
2697,368
2698,358
2699,360
2700,357
2701,349
2702,349
2703,368
2704,341
2705,342
2706,360
2707,345
2708,351
2709,360
2710,360
2711,351
2712,351
2713,358
2714,367
2715,341
2716,359
2717,359
2718,355
2719,363
2720,343
2721,354
2722,341
2723,350
2724,357
2725,350
2726,355
2727,349
2728,362
2729,355
2730,345
2731,369
2732,343
2733,347
2734,369
2735,346
2736,353
2737,343
2738,363
2739,369
2740,363
2741,346
2742,343
2743,355
2744,351
2745,348
2746,355
2747,347
2748,369
2749,347
2750,358
2751,357
2752,361
2753,368
2754,346
2755,362
2756,354
2757,340
2758,367
2759,344
2760,367
2761,351
2762,365
2763,350
2764,344
2765,368
2766,349
2767,354
2768,367
2769,363
2770,347
2771,349
2772,368
2773,366
2774,361
2775,352
2776,343
2777,369
2778,344
2779,366
2780,344
2781,348
2782,347
2783,358
2784,370
2785,369
2786,363
2787,354
2788,367
2789,350
2790,366
2791,352
2792,350
2793,366
2794,342
2795,367
2796,358
2797,348
2798,346
2799,349
2800,352
2801,351
2802,345
2803,341
2804,365
2805,350
2806,350
2807,347
2808,343
2809,366
2810,353
2811,357
2812,348
2813,343
2814,357
2815,367
2816,359
2817,356
2818,355
2819,365
2820,342
2821,359
2822,361
2823,345
2824,357
2825,343
2826,359
2827,353
2828,368
2829,347
2830,340
2831,359
2832,342
2833,358
2834,351
2835,358
2836,366
2837,370
2838,369
2839,363
2840,355
2841,343
2842,365
2843,364
2844,350
2845,361
2846,344
2847,353
2848,368
2849,350
2850,344
2851,348
2852,350
2853,366
2854,345
2855,359
2856,340
2857,365
2858,341
2859,364
2860,352
2861,342
2862,359
2863,352
2864,362
2865,352
2866,360
2867,369
2868,362
2869,357
2870,354
2871,365
2872,340
2873,355
2874,350
2875,350
2876,359
2877,367
2878,365
2879,357
2880,350
2881,360
2882,347
2883,351
2884,367
2885,340
2886,351
2887,366
2888,345
2889,350
2890,358
2891,353
2892,367
2893,369
2894,367
2895,357
2896,355
2897,354
2898,342
2899,361
2900,357
2901,362
2902,351
2903,352
2904,344
2905,349
2906,343
2907,346
2908,368
2909,347
2910,343
2911,369
2912,365
2913,367
2914,354
2915,359
2916,368
2917,370
2918,359
2919,352
2920,357
2921,346
2922,366
2923,344
2924,346
2925,342
2926,348
2927,347
2928,355
2929,364
2930,346
2931,345
2932,340
2933,354
2934,362
2935,366
2936,359
2937,345
2938,364
2939,366
2940,361
2941,349
2942,370
2943,350
2944,370
2945,368
2946,366
2947,350
2948,360
2949,365
2950,361
2951,365
2952,351
2953,359
2954,368
2955,346
2956,367
2957,343
2958,359
2959,363
2960,352
2961,347
2962,351
2963,362
2964,366
2965,366
2966,363
2967,359
2968,352
2969,366
2970,347
2971,351
2972,357
2973,362
2974,369
2975,349
2976,367
2977,359
2978,352
2979,350
2980,356
2981,365
2982,346
2983,348
2984,352
2985,363
2986,356
2987,366
2988,343
2989,354
2990,370
2991,358
2992,349
2993,341
2994,362
2995,342
2996,357
